Actual,Predicted
525.88,524.9607890636773
70.49,70.52782840416324
81.7,82.4663299119513
769.0,759.9812898514148
29.62,28.433112032481695
67.8,68.89803297219552
39.4,39.66170264659058
42.66,42.41135751647476
62.96,64.46858894543664
74.72,75.02726364579192
47.54,47.6906948666524
189.31,189.85285101215555
52.38,54.68981635363033
59.65,60.589075892654584
86.28,86.77578899893344
21.83,21.613967955168913
52.53,52.80005355214629
30.92,31.29275309716125
25.83,25.733450887504496
187.81,190.0028321868765
15.41,15.444742301646938
15.8,15.654715946256276
35.07,35.8521808086783
17.68,17.674462432498476
50.61,51.51021544954607
128.02,127.67065597284733
112.44,112.01262133197957
71.48,71.93765144654023
232.48,229.2978999637669
38.58,38.40186077893455
22.26,22.173897674127144
32.82,33.02253597894294
38.685,38.65182940346948
92.64,92.71504351788327
169.63,169.40541752519857
37.95,37.781938590087925
113.6,112.37257615130986
35.72,35.92217202354808
41.6,41.72144411275837
29.1,29.053034221328314
155.33,155.73713313562882
65.41,66.36835049190206
22.79,23.58372071650413
126.42,127.1307237438519
67.73,67.79817102424185
91.31,91.59518407996681
25.14,25.0335387388067
60.1,60.679064597487155
178.77,179.08420266719094
36.14,36.15214315812021
34.49,35.27225359975727
43.09,43.41123201461446
59.55,59.66919135436605
20.36,20.564099732122223
34.9,34.89230129046418
142.54,143.48867053341746
91.85,92.11511881899945
108.96,109.08298905243022
107.28,106.92326013644848
140.42,139.83912861520753
94.87,94.79478247401386
61.71,61.36897800120355
81.4,82.57631610674667
73.43,73.56744687850794
56.33,56.20962559080267
55.93,56.90953773950047
83.3,82.56631736176527
95.56,94.77478498405107
110.17,111.5726765527981
35.54,35.29225108972007
113.81,113.44244186431935
40.22,40.25162860049299
81.26,80.19661480117419
93.965,94.39483267475798
27.1,26.85331032542096
56.54,56.579579155114374
46.08,46.00090696479629
73.51,74.0673841275778
56.1,55.1197623878304
110.01,108.37307815875104
50.96,50.68031961609011
80.63,80.40658844578351
223.28,223.4186379147054
63.92,64.88853623465532
185.65,185.16343961588035
52.21,52.320113793039226
34.4,34.522347726152496
258.77,258.9541775785905
57.58,57.95940596254716
114.81,114.08236154312875
161.29,163.09620944193705
41.56,41.47147548822344
55.97,56.819549034667894
113.08,112.36257740632846
197.19,197.0519473987614
30.62,30.4428597737425
99.14,99.06424658107039
